Tag_Name,Text,Attributes,Description
a,Maya (mother of Buddha),"{'href': '/wiki/Maya_(mother_of_Buddha)', 'class': ['mw-redirect'], 'title': 'Maya (mother of Buddha)'}",HTML <a> tag from page about Nepal
tr,Kirata kingdomYalamber,{},HTML <tr> tag from page about Nepal
th,Kirata kingdom,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
a,Kirata kingdom,"{'href': '/wiki/Kirata_kingdom', 'title': 'Kirata kingdom'}",HTML <a> tag from page about Nepal
td,Yalamber,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-odd'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,Yalamber,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,Yalamber,{},HTML <ul> tag from page about Nepal
li,Yalamber,{},HTML <li> tag from page about Nepal
a,Yalamber,"{'href': '/wiki/Yalamber', 'class': ['mw-redirect'], 'title': 'Yalamber'}",HTML <a> tag from page about Nepal
tr,Lichchhavi ruleManadevaAmshuvermaBhrikutiAraniko,{},HTML <tr> tag from page about Nepal
th,Lichchhavi rule,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
a,Lichchhavi rule,"{'href': '/wiki/Licchavi_(kingdom)', 'class': ['mw-redirect'], 'title': 'Licchavi (kingdom)'}",HTML <a> tag from page about Nepal
td,ManadevaAmshuvermaBhrikutiAraniko,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-even'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,ManadevaAmshuvermaBhrikutiAraniko,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,ManadevaAmshuvermaBhrikutiAraniko,{},HTML <ul> tag from page about Nepal
li,Manadeva,{},HTML <li> tag from page about Nepal
a,Manadeva,"{'href': '/wiki/Manadeva', 'title': 'Manadeva'}",HTML <a> tag from page about Nepal
li,Amshuverma,{},HTML <li> tag from page about Nepal
a,Amshuverma,"{'href': '/wiki/Amshuverma', 'title': 'Amshuverma'}",HTML <a> tag from page about Nepal
li,Bhrikuti,{},HTML <li> tag from page about Nepal
a,Bhrikuti,"{'href': '/wiki/Bhrikuti', 'title': 'Bhrikuti'}",HTML <a> tag from page about Nepal
li,Araniko,{},HTML <li> tag from page about Nepal
a,Araniko,"{'href': '/wiki/Araniko', 'title': 'Araniko'}",HTML <a> tag from page about Nepal
div,,{},HTML <div> tag from page about Nepal
tr,MedievalandmodernArimallaKhasa kingdomBaise RajyaChaubisi RajyaNewa kingdomsEarly Shah ruleGorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAng,{},HTML <tr> tag from page about Nepal
th,Medievalandmodern,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
br,,{},HTML <br> tag from page about Nepal
br,,{},HTML <br> tag from page about Nepal
td,ArimallaKhasa kingdomBaise RajyaChaubisi RajyaNewa kingdomsEarly Shah ruleGorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbh,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-odd'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,ArimallaKhasa kingdomBaise RajyaChaubisi RajyaNewa kingdoms,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,ArimallaKhasa kingdomBaise RajyaChaubisi RajyaNewa kingdoms,{},HTML <ul> tag from page about Nepal
li,Arimalla,{},HTML <li> tag from page about Nepal
a,Arimalla,"{'href': '/wiki/Arimalla', 'title': 'Arimalla'}",HTML <a> tag from page about Nepal
li,Khasa kingdom,{},HTML <li> tag from page about Nepal
a,Khasa kingdom,"{'href': '/wiki/Khasa_kingdom', 'class': ['mw-redirect'], 'title': 'Khasa kingdom'}",HTML <a> tag from page about Nepal
li,Baise Rajya,{},HTML <li> tag from page about Nepal
a,Baise Rajya,"{'href': '/wiki/Baise_Rajya', 'title': 'Baise Rajya'}",HTML <a> tag from page about Nepal
li,Chaubisi Rajya,{},HTML <li> tag from page about Nepal
a,Chaubisi Rajya,"{'href': '/wiki/Chaubisi_Rajya', 'title': 'Chaubisi Rajya'}",HTML <a> tag from page about Nepal
li,Newa kingdoms,{},HTML <li> tag from page about Nepal
a,Newa kingdoms,"{'href': '/wiki/Nepal_Mandala', 'title': 'Nepal Mandala'}",HTML <a> tag from page about Nepal
table,Early Shah ruleGorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbhadra KunwarTreaty of SugauliRana ruleKot massacreJung Bahad,"{'class': ['nowraplinks', 'navbox-subgroup'], 'style': 'border-spacing:0'}",HTML <table> tag from page about Nepal
tbody,Early Shah ruleGorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbhadra KunwarTreaty of SugauliRana ruleKot massacreJung Bahad,{},HTML <tbody> tag from page about Nepal
tr,Early Shah ruleGorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbhadra KunwarTreaty of Sugauli,{},HTML <tr> tag from page about Nepal
th,Early Shah rule,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
a,Early Shah rule,"{'href': '/wiki/Shah_dynasty', 'title': 'Shah dynasty'}",HTML <a> tag from page about Nepal
td,Gorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbhadra KunwarTreaty of Sugauli,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-even'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,Gorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbhadra KunwarTreaty of Sugauli,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,Gorkha kingdomPrithvi Narayan ShahUnificationKalu PandeKingdom of NepalMonarchsSino-Nepal WarBhimsen ThapaAnglo-Nepal WarBalbhadra KunwarTreaty of Sugauli,{},HTML <ul> tag from page about Nepal
li,Gorkha kingdom,{},HTML <li> tag from page about Nepal
a,Gorkha kingdom,"{'href': '/wiki/Gorkha_kingdom', 'title': 'Gorkha kingdom'}",HTML <a> tag from page about Nepal
li,Prithvi Narayan Shah,{},HTML <li> tag from page about Nepal
a,Prithvi Narayan Shah,"{'href': '/wiki/Prithvi_Narayan_Shah', 'title': 'Prithvi Narayan Shah'}",HTML <a> tag from page about Nepal
li,Unification,{},HTML <li> tag from page about Nepal
a,Unification,"{'href': '/wiki/Unification_of_Nepal', 'title': 'Unification of Nepal'}",HTML <a> tag from page about Nepal
li,Kalu Pande,{},HTML <li> tag from page about Nepal
a,Kalu Pande,"{'href': '/wiki/Kalu_Pande', 'title': 'Kalu Pande'}",HTML <a> tag from page about Nepal
li,Kingdom of NepalMonarchs,{},HTML <li> tag from page about Nepal
a,Kingdom of Nepal,"{'href': '/wiki/Kingdom_of_Nepal', 'title': 'Kingdom of Nepal'}",HTML <a> tag from page about Nepal
ul,Monarchs,{},HTML <ul> tag from page about Nepal
li,Monarchs,{},HTML <li> tag from page about Nepal
a,Monarchs,"{'href': '/wiki/List_of_monarchs_of_Nepal', 'title': 'List of monarchs of Nepal'}",HTML <a> tag from page about Nepal
li,Sino-Nepal War,{},HTML <li> tag from page about Nepal
a,Sino-Nepal War,"{'href': '/wiki/Sino-Nepalese_War', 'title': 'Sino-Nepalese War'}",HTML <a> tag from page about Nepal
li,Bhimsen Thapa,{},HTML <li> tag from page about Nepal
a,Bhimsen Thapa,"{'href': '/wiki/Bhimsen_Thapa', 'title': 'Bhimsen Thapa'}",HTML <a> tag from page about Nepal
li,Anglo-Nepal War,{},HTML <li> tag from page about Nepal
a,Anglo-Nepal War,"{'href': '/wiki/Anglo-Nepalese_War', 'title': 'Anglo-Nepalese War'}",HTML <a> tag from page about Nepal
li,Balbhadra Kunwar,{},HTML <li> tag from page about Nepal
a,Balbhadra Kunwar,"{'href': '/wiki/Balbhadra_Kunwar', 'title': 'Balbhadra Kunwar'}",HTML <a> tag from page about Nepal
li,Treaty of Sugauli,{},HTML <li> tag from page about Nepal
a,Treaty of Sugauli,"{'href': '/wiki/Treaty_of_Sugauli', 'title': 'Treaty of Sugauli'}",HTML <a> tag from page about Nepal
tr,Rana ruleKot massacreJung Bahadur RanaTibetan War(Treaty of Thapathali)Lamjang and KaskiTribhuvanNepal–Britain Treaty of 1923,{},HTML <tr> tag from page about Nepal
th,Rana rule,"{'scope': 'row', 'class': ['navbox-group'], 'style': 'width:1%;padding-left:0.5em;padding-right:0.5em;font-weight:normal;'}",HTML <th> tag from page about Nepal
a,Rana rule,"{'href': '/wiki/Rana_dynasty', 'title': 'Rana dynasty'}",HTML <a> tag from page about Nepal
td,Kot massacreJung Bahadur RanaTibetan War(Treaty of Thapathali)Lamjang and KaskiTribhuvanNepal–Britain Treaty of 1923,"{'class': ['navbox-list-with-group', 'navbox-list', 'navbox-odd'], 'style': 'width:100%;padding:0'}",HTML <td> tag from page about Nepal
div,Kot massacreJung Bahadur RanaTibetan War(Treaty of Thapathali)Lamjang and KaskiTribhuvanNepal–Britain Treaty of 1923,{'style': 'padding:0 0.25em'},HTML <div> tag from page about Nepal
ul,Kot massacreJung Bahadur RanaTibetan War(Treaty of Thapathali)Lamjang and KaskiTribhuvanNepal–Britain Treaty of 1923,{},HTML <ul> tag from page about Nepal
li,Kot massacre,{},HTML <li> tag from page about Nepal
a,Kot massacre,"{'href': '/wiki/Kot_massacre', 'title': 'Kot massacre'}",HTML <a> tag from page about Nepal
li,Jung Bahadur Rana,{},HTML <li> tag from page about Nepal
a,Jung Bahadur Rana,"{'href': '/wiki/Jung_Bahadur_Rana', 'title': 'Jung Bahadur Rana'}",HTML <a> tag from page about Nepal
li,Tibetan War(Treaty of Thapathali),{},HTML <li> tag from page about Nepal
a,Tibetan War,"{'href': '/wiki/Nepal%E2%80%93Tibet_War_(1855%E2%80%931856)', 'title': 'Nepal–Tibet War (1855–1856)'}",HTML <a> tag from page about Nepal
a,Treaty of Thapathali,"{'href': '/wiki/Treaty_of_Thapathali', 'title': 'Treaty of Thapathali'}",HTML <a> tag from page about Nepal
li,Lamjang and Kaski,{},HTML <li> tag from page about Nepal
a,Lamjang and Kaski,"{'href': '/wiki/Lamjang_and_Kaski', 'class': ['mw-redirect'], 'title': 'Lamjang and Kaski'}",HTML <a> tag from page about Nepal
li,Tribhuvan,{},HTML <li> tag from page about Nepal
a,Tribhuvan,"{'href': '/wiki/Tribhuvan_of_Nepal', 'title': 'Tribhuvan of Nepal'}",HTML <a> tag from page about Nepal
li,Nepal–Britain Treaty of 1923,{},HTML <li> tag from page about Nepal
a,Nepal–Britain Treaty of 1923,"{'href': '/wiki/Nepal%E2%80%93Britain_Treaty_of_1923', 'title': 'Nepal–Britain Treaty of 1923'}",HTML <a> tag from page about Nepal
tr,Post-Rana andPanchayat1951 revolutionPanchayat systemBack to the Village campaign,{},HTML <tr> tag from page about Nepal
